dt,date,time,dayoftheweek,latitude,longitude,site_name,site_code,source_id,PM1,PM10,PM25,AQI,NO2,O3,SO2
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.52253,-0.154611,London Marylebone Road,OPENAQ_London-Marylebone-Road154,OPENAQ,,15.0,9.0,2.0,26.0,22.0,8.0
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.5145253362314,-0.104515626337876,City of London - Farringdon Street,OPENAQ_City-of-London---Farringdon-Street225743,OPENAQ,,,5.0,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.165865,-0.167734,Horley,OPENAQ_Horley2541,OPENAQ,,4.6,,1.0,1.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.520225273171,-0.0961060474176381,City of London - Beech Street,OPENAQ_City-of-London---Beech-Street225731,OPENAQ,,12.0,,1.0,60.2,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.520787459334,0.205460705694044,Havering - Rainham,OPENAQ_Havering---Rainham225763,OPENAQ,,2.5,-0.7,1.0,11.2,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.510499,-0.091634,City of London - Walbrook Wharf,OPENAQ_City-of-London---Walbrook-Wharf225721,OPENAQ,,,,2.0,16.9,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.51525,-0.274293,Acton,OPENAQ_Acton65995,OPENAQ,4.2,4.9,4.5,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.234962,-0.860451,Crondall Weather,OPENAQ_Crondall-Weather62604,OPENAQ,2.8,6.3,5.3,2.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.5038527919816,-0.254668101620372,Ealing - Acton Vale ,OPENAQ_Ealing---Acton-Vale-225741,OPENAQ,,9.4,,1.0,4.1,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.287754,0.491234,Allington A20 KENT,OPENAQ_Allington-A20-KENT73060,OPENAQ,0.4,0.3,0.2,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.518167,0.439548,Stanford-le-Hope Roadside,OPENAQ_Stanford-le-Hope-Roadside2489,OPENAQ,,8.0,3.0,1.0,2.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.495057,0.0041074676,Greenwich - Tunnel Avenue,OPENAQ_Greenwich---Tunnel-Avenue227059,OPENAQ,,,,1.0,16.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.526454,-0.08491,Hackney - Old Street,OPENAQ_Hackney---Old-Street225756,OPENAQ,,10.8,,2.0,16.0,7.4,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.51895,-0.265617,Ealing Horn Lane,OPENAQ_Ealing-Horn-Lane149,OPENAQ,,16.0,,2.0,31.8,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.466972,-0.187184,Fulham Riverside,OPENAQ_Fulham-Riverside65568,OPENAQ,3.4,6.1,5.6,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.4563,0.085606,Greenwich - Falconwood,OPENAQ_Greenwich---Falconwood225796,OPENAQ,,-2.9,11.8,2.0,30.4,25.2,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.52105,-0.213492,London N. Kensington,OPENAQ_London-N.-Kensington155,OPENAQ,,12.0,7.0,1.0,6.0,39.0,2.0
